Ratio,Size,Mean Error(%),CI Lower(%),CI Upper(%),Over(%),Under(%),Peak Signed(%),RMS(%)
4.026665869923713e-05,1000,0.45977672459885,-1.4902232754011528,1.5597767245988408,52.0,48.0,-4.040223275401154,1.7958910539207027
8.053331739847427e-05,2000,-0.1152232754011564,-0.7277232754011571,0.5222767245988464,44.0,56.00000000000001,2.5597767245988408,1.0457457064214923
0.0001207999760977114,3000,-0.04022327540115711,-0.7318899420678235,0.6514433912655129,50.0,50.0,2.8264433912655065,0.9601235113780269
0.00016106663479694853,4000,0.0722767245988436,-0.390223275401155,0.8347767245988518,56.00000000000001,44.0,1.8097767245988408,0.7909991041501341
0.00020133329349618565,5000,-0.260223275401156,-0.7002232754011537,0.16977672459884374,34.0,66.0,-1.8202232754011547,0.6853900414597233
0.0002415999521954228,6000,0.0931100579321793,-0.22772327540115178,0.48894339126551145,60.0,40.0,1.4431100579321736,0.6199591644884641
0.0002818666108946599,7000,-0.09022327540115782,-0.6330804182582987,0.48477672459884324,40.0,60.0,-1.61165184682973,0.7020465927187736
0.00032213326959389707,8000,-0.015223275401154979,-0.3120982754011514,0.3629017245988404,50.0,50.0,1.297276724598838,0.5248615739638699
0.0003623999282931342,9000,-0.08466771984560495,-0.3846677198456039,0.32088783570995005,44.0,56.00000000000001,-1.0180010531789279,0.47364764723776626
0.0004026665869923713,10000,-0.03522327540115455,-0.4002232754011583,0.35477672459884424,48.0,52.0,1.4097767245988422,0.542880475688701
0.00044293324569160845,11000,-0.04022327540115356,-0.528859639037524,0.2461403609624817,46.0,54.0,-1.2584050935829723,0.532726560782959
0.0004831999043908456,12000,-0.17355660873449352,-0.36938994206782994,-0.004806608734488904,26.0,74.0,-1.1068899420678235,0.486037494010756
0.0005234665630900827,13000,0.0059305707526888796,-0.30945404463192894,0.44439210921422934,50.0,50.0,-1.1171463523242409,0.4831104507618714
0.0005637332217893198,14000,-0.06165184682972935,-0.2384375611154379,0.1258481531702742,44.0,56.00000000000001,-0.9116518468297343,0.3863409544185313
0.000603999880488557,15000,0.01977672459884161,-0.2852232754011581,0.1914433912655138,52.0,48.0,0.8464433912655025,0.3719948942803065
0.0006442665391877941,16000,0.0410267245988436,-0.2402232754011564,0.2800892245988429,56.00000000000001,44.0,-0.8964732754011564,0.35805883540921213
0.0006845331978870313,17000,0.01271790106942916,-0.2137526871658615,0.36418848930472514,54.0,46.0,-0.7931644518717391,0.36933446362410743
0.0007247998565862684,18000,-0.10133438651227067,-0.31938994206781857,0.11672116904328966,36.0,64.0,-0.9346677198456064,0.40671339047291366
0.0007650665152855055,19000,0.05977672459884431,-0.19417064382220595,0.34398725091463156,54.0,46.0,-0.8981180122432662,0.3814646151801917
0.0008053331739847426,20000,0.004776724598841042,-0.20522327540115626,0.2497767245988456,52.0,48.0,0.8297767245988439,0.36824091001560283
