method,relative_tolerance,issue,prevalence_class,true_rate,median_stop_n,mean_stop_fraction,p95_stop_n,success_rate,median_relative_error,p95_relative_error,maximum_relative_error,full_budget_rate
adaptive,0.05,Cookie security,High,0.23342,8000.0,0.08136,8000.0,0.99,0.012659583583240567,0.037828806443321074,0.07355839259703535,0.0
adaptive,0.05,Clickjacking,Medium,0.11005,16000.0,0.16368000000000002,16000.0,0.983,0.013175829168559808,0.0407769195820081,0.07564743298500681,0.0
adaptive,0.05,CORS,Low,0.00759,100000.0,1.0,100000.0,1.0,0.0,0.0,0.0,1.0
adaptive,0.1,Cookie security,High,0.23342,4000.0,0.04,4000.0,0.999,0.01893582383686051,0.05752720418130401,0.10247622311712791,0.0
adaptive,0.1,Clickjacking,Medium,0.11005,4000.0,0.04136,4000.0,0.969,0.02771467514766013,0.08677873693775547,0.14129940935938207,0.0
adaptive,0.1,CORS,Low,0.00759,64000.0,0.6126400000000001,64000.0,0.974,0.020092226613965838,0.08695652173913043,0.17341897233201564,0.012
adaptive,0.2,Cookie security,High,0.23342,4000.0,0.04,4000.0,1.0,0.01893582383686051,0.05752720418130401,0.10247622311712791,0.0
adaptive,0.2,Clickjacking,Medium,0.11005,4000.0,0.04,4000.0,1.0,0.02771467514766013,0.08684688777828244,0.14129940935938207,0.0
adaptive,0.2,CORS,Low,0.00759,16000.0,0.16448000000000002,16000.0,0.989,0.05401844532279312,0.15283267457180505,0.2269433465085638,0.0
