trial,issue,stage_n,stage_fraction,positive_count,estimate,half_width,relative_change,relative_margin,is_stop,full_data_rate_evaluation_only
0,Cookie security,2000,0.02,484,0.242,0.01858192009970017,inf,0.07678479380041393,False,0.23342
0,Cookie security,4000,0.04,935,0.23375,0.012850408596933082,0.03529411764705873,0.054975010040355425,False,0.23342
0,Cookie security,8000,0.08,1836,0.2295,0.008838465054407833,0.018518518518518535,0.03851183030243064,True,0.23342
0,Clickjacking,2000,0.02,228,0.114,0.0137885179597996,inf,0.12095191192806666,False,0.11005
0,Clickjacking,4000,0.04,450,0.1125,0.009594366967635649,0.013333333333333345,0.0852832619345391,False,0.11005
0,Clickjacking,8000,0.08,903,0.112875,0.006651053993384909,0.0033222591362126273,0.05892406638657726,False,0.11005
0,Clickjacking,16000,0.16,1817,0.1135625,0.004505795185669213,0.006053935057787506,0.03967678754579384,True,0.11005
0,CORS,2000,0.02,13,0.0065,0.003486493955118287,inf,0.5363836854028134,False,0.00759
0,CORS,4000,0.04,35,0.00875,0.0028278183610681643,0.25714285714285723,0.323179241264933,False,0.00759
0,CORS,8000,0.08,65,0.008125,0.0018868585301677536,0.07692307692307698,0.23222874217449274,False,0.00759
0,CORS,16000,0.16,123,0.0076875,0.0012403570220277447,0.05691056910569111,0.161347254897918,False,0.00759
0,CORS,32000,0.32,247,0.00771875,0.0007907161510107165,0.0040485829959514205,0.10244095883539647,False,0.00759
0,CORS,64000,0.64,480,0.0075,0.0004010582138480112,0.029166666666666695,0.05347442851306816,False,0.00759
0,CORS,100000,1.0,759,0.00759,0.0,0.01185770750988151,0.0,True,0.00759
