n,ro_mean,ro_min,ro_max,valid_rate,valid_count
500,0.00888,0.0,0.022,0.0,0
1500,0.009133333333333334,0.004,0.016,0.14,7
2500,0.008304,0.0048,0.012,0.28,14
3500,0.008617142857142858,0.006285714285714286,0.011428571428571429,0.3,15
4500,0.008657777777777778,0.005555555555555556,0.011777777777777778,0.34,17
5500,0.009247272727272729,0.007090909090909091,0.012,0.22,11
6500,0.008858461538461539,0.005846153846153846,0.012769230769230769,0.36,18
7500,0.008885333333333334,0.0068,0.011066666666666667,0.34,17
8500,0.008814117647058823,0.006,0.011764705882352941,0.4,20
9500,0.008719999999999999,0.006736842105263158,0.010526315789473684,0.48,24
10500,0.009013333333333333,0.0067619047619047615,0.011238095238095238,0.36,18
11500,0.00895304347826087,0.007217391304347826,0.012,0.5,25
12500,0.0087568,0.0068,0.01112,0.4,20
13500,0.008697777777777778,0.007037037037037037,0.01037037037037037,0.42,21
14500,0.009048275862068965,0.006896551724137931,0.011241379310344827,0.42,21
15500,0.008818064516129032,0.007290322580645161,0.010516129032258065,0.28,14
16500,0.008896969696969697,0.007333333333333333,0.010606060606060607,0.56,28
17500,0.008722285714285715,0.007314285714285714,0.0104,0.62,31
18500,0.008818378378378379,0.006432432432432433,0.010108108108108109,0.44,22
19500,0.008739487179487181,0.007076923076923077,0.010358974358974359,0.54,27
20500,0.008973658536585367,0.007365853658536585,0.010195121951219513,0.6,30
21500,0.008815813953488372,0.007674418604651163,0.010372093023255815,0.5,25
22500,0.008872000000000001,0.007822222222222222,0.01071111111111111,0.54,27
23500,0.008934468085106381,0.007914893617021277,0.010127659574468085,0.58,29
24500,0.008839183673469387,0.006979591836734694,0.01016326530612245,0.62,31
25500,0.008898039215686274,0.007137254901960785,0.01003921568627451,0.54,27
26500,0.00868754716981132,0.007471698113207547,0.00969811320754717,0.64,32
27500,0.008799272727272728,0.0076363636363636364,0.009818181818181818,0.6,30
28500,0.008740350877192982,0.007824561403508772,0.009894736842105263,0.6,30
29500,0.008854237288135593,0.007254237288135593,0.010372881355932203,0.62,31
30500,0.008887213114754098,0.007836065573770493,0.010065573770491804,0.66,33
31500,0.008825396825396825,0.007619047619047619,0.010412698412698413,0.64,32
32500,0.008859692307692308,0.007692307692307693,0.010246153846153846,0.68,34
33500,0.008773134328358209,0.007940298507462687,0.009701492537313432,0.7,35
34500,0.00886840579710145,0.007710144927536232,0.00982608695652174,0.56,28
35500,0.00884,0.0077746478873239435,0.009830985915492958,0.72,36
36500,0.008770958904109588,0.007698630136986301,0.009917808219178082,0.62,31
37500,0.008897066666666667,0.00784,0.00968,0.76,38
38500,0.008801558441558442,0.008025974025974027,0.009870129870129871,0.76,38
39500,0.008838987341772152,0.00789873417721519,0.009443037974683544,0.74,37
40500,0.00878962962962963,0.008,0.009901234567901235,0.62,31
41500,0.008853493975903614,0.008048192771084338,0.009951807228915662,0.62,31
42500,0.008866823529411766,0.00811764705882353,0.009694117647058824,0.62,31
43500,0.00876735632183908,0.007885057471264369,0.009885057471264367,0.7,35
44500,0.008790561797752809,0.007730337078651685,0.009797752808988765,0.7,35
