n_rest,rest_ratio_vs_total,rest_ratio_vs_rest_pool,phi_topN,phi_rest,E_topN,E_rest_only,E_hybrid
1000,0.002,0.00202020202020202,-0.10525038026163602,-1.6122325379578961,1.9336862659919463,3.4406684236882064,1.7174829182195321
6000,0.012,0.012121212121212121,-0.7799844577612938,-0.2764498650274707,1.9336862659919463,1.4301516732581232,1.0564343227887645
11000,0.022,0.022222222222222223,-0.8332327655445914,0.13736027035893722,1.9336862659919463,0.9630932300884177,0.6958724951856542
16000,0.032,0.03232323232323232,-0.8731528191476485,0.09766913771805691,1.9336862659919463,0.9628643091262409,0.7754836814295917
21000,0.042,0.04242424242424243,-0.9217147213932635,0.35472951423682075,1.9336862659919463,0.657242030361862,0.5669852071564427
26000,0.052,0.052525252525252523,-0.9637308822138997,0.3163804031504498,1.9336862659919463,0.6535749806275968,0.6473504790634498
31000,0.062,0.06262626262626263,-0.9531735240257501,0.4221572016821366,1.9336862659919463,0.5583555402840595,0.5310163223436134
36000,0.072,0.07272727272727272,-0.9204931901671205,0.5168609222288773,1.9336862659919463,0.4963321535959484,0.40363226793824325
41000,0.082,0.08282828282828283,-0.9580141294753932,0.47791544038476974,1.9336862659919463,0.49775669613178336,0.4800986890906234
46000,0.092,0.09292929292929293,-0.9464971672454319,0.3828539778256684,1.9336862659919463,0.604335120920846,0.5636431894197635
50000,0.1,0.10101010101010101,-0.9474450206489275,0.5299094246321979,1.9336862659919463,0.45633182071082073,0.4175355960167297
