n_rest,rest_ratio_vs_total,rest_ratio_vs_rest_pool,phi_topN,phi_rest,E_topN,E_rest_only,E_hybrid
1000,0.002,0.00202020202020202,-0.3065762240847857,-1.3445444041666952,1.9336862659919463,2.9716544460738556,1.6511206282514808
6000,0.012,0.012121212121212121,-0.9184844945478307,-0.23377974439215687,1.9336862659919463,1.2489815158362725,1.1522642389399875
11000,0.022,0.022222222222222223,-0.815994730279458,0.19752714374850838,1.9336862659919463,0.9201643919639798,0.6184675865309496
16000,0.032,0.03232323232323232,-0.8610473921144348,0.20276006736417296,1.9336862659919463,0.8698788065133385,0.6582873247502619
21000,0.042,0.04242424242424243,-0.9374302683110274,0.28354393665067545,1.9336862659919463,0.7127120610302435,0.6538863316603519
26000,0.052,0.052525252525252523,-0.9332225192668933,0.4348974268793254,1.9336862659919463,0.5655663198457275,0.49832509238756784
31000,0.062,0.06262626262626263,-0.9309506163120006,0.328871639606582,1.9336862659919463,0.6738640100733636,0.6020789767054185
36000,0.072,0.07272727272727272,-0.954107365591113,0.35404304332766195,1.9336862659919463,0.6255358570731714,0.6000643222634511
41000,0.082,0.08282828282828283,-0.9230222749763438,0.43417786422993376,1.9336862659919463,0.5764861267856687,0.4888444107464101
46000,0.092,0.09292929292929293,-0.9373047399073784,0.607131048735789,1.9336862659919463,0.38925047734877893,0.3301736911715894
50000,0.1,0.10101010101010101,-0.9529178909755557,0.4999803523738454,1.9336862659919463,0.4807880226425452,0.4529375386017103
