n,ro_mean,ro_min,ro_max,valid_rate,valid_count
500,0.23627999999999996,0.196,0.284,0.46,23
1500,0.24008,0.22266666666666668,0.26,0.78,39
2500,0.24011999999999997,0.2244,0.2604,0.88,44
3500,0.24012,0.228,0.25257142857142856,0.98,49
4500,0.24071111111111113,0.22844444444444445,0.25533333333333336,0.94,47
5500,0.23865818181818185,0.226,0.24818181818181817,0.96,48
6500,0.2388246153846154,0.22415384615384615,0.24969230769230769,0.98,49
7500,0.23850399999999997,0.22866666666666666,0.25253333333333333,0.98,49
8500,0.24081647058823527,0.2268235294117647,0.248,0.98,49
9500,0.23978947368421058,0.22905263157894737,0.2468421052631579,1.0,50
10500,0.24005904761904762,0.23247619047619048,0.25142857142857145,1.0,50
11500,0.24003130434782607,0.22991304347826086,0.24739130434782608,1.0,50
12500,0.2408848,0.23192,0.25088,1.0,50
13500,0.24007407407407402,0.2322962962962963,0.24925925925925926,1.0,50
14500,0.2395751724137931,0.23096551724137931,0.24648275862068966,1.0,50
15500,0.23987741935483872,0.23406451612903226,0.24567741935483872,1.0,50
16500,0.23986303030303027,0.23157575757575757,0.2463030303030303,1.0,50
17500,0.2399497142857143,0.23331428571428572,0.2478857142857143,1.0,50
18500,0.24071567567567567,0.23243243243243245,0.24745945945945946,1.0,50
19500,0.24028512820512823,0.232,0.24497435897435899,1.0,50
20500,0.24028000000000002,0.23448780487804877,0.24682926829268292,1.0,50
21500,0.23995441860465114,0.23348837209302326,0.24558139534883722,1.0,50
22500,0.23997511111111114,0.2335111111111111,0.24715555555555555,1.0,50
23500,0.2396936170212766,0.2334468085106383,0.24348936170212765,1.0,50
24500,0.23980571428571423,0.23546938775510204,0.244734693877551,1.0,50
25500,0.24064313725490194,0.2367843137254902,0.2463921568627451,1.0,50
26500,0.23974339622641508,0.2350943396226415,0.2459245283018868,1.0,50
27500,0.23921745454545454,0.23381818181818181,0.24709090909090908,1.0,50
28500,0.23985754385964914,0.2332280701754386,0.2459298245614035,1.0,50
29500,0.2395572881355932,0.23396610169491525,0.24437288135593221,1.0,50
30500,0.23996983606557376,0.2343934426229508,0.24465573770491802,1.0,50
31500,0.23994857142857143,0.2355873015873016,0.24387301587301588,1.0,50
