k,n,ro_mean,ro_min,ro_max,valid_rate,valid_count
990,506,0.0012670136578875279,0.0,0.009900990099009901,0.0,0
980,511,0.001254364759602471,0.0,0.00392156862745098,0.0,0
970,516,0.0017459170617897194,0.0,0.005813953488372093,0.0,0
960,521,0.0014207884246271963,0.0,0.005758157389635317,0.0,0
950,527,0.0015960923802858565,0.0,0.005703422053231939,0.0,0
940,532,0.0016542769352760431,0.0,0.005639097744360902,0.0,0
930,538,0.0013393283628585077,0.0,0.0055762081784386614,0.0,0
920,544,0.0012510155996100097,0.0,0.007352941176470588,0.0,0
910,550,0.0016749793012088092,0.0,0.007285974499089253,0.0,0
900,556,0.0015835115691230804,0.0,0.007194244604316547,0.0,0
890,562,0.0018868187844532829,0.0,0.0053475935828877,0.0,0
880,569,0.0017246095200376247,0.0,0.00528169014084507,0.0,0
870,575,0.0014962581427056506,0.0,0.0052173913043478265,0.0,0
860,582,0.0018919862069781334,0.0,0.0051635111876075735,0.0,0
850,589,0.0016318445884295992,0.0,0.006802721088435374,0.0,0
840,596,0.001915064012182054,0.0,0.005042016806722689,0.54,27
830,603,0.0017926425458532366,0.0,0.006633499170812604,0.32,16
820,610,0.0013455005518318126,0.0,0.006568144499178982,0.28,14
810,618,0.0015225042354434497,0.0,0.004862236628849271,0.34,17
800,625,0.0015040000000000001,0.0,0.008,0.42,21
790,633,0.0015799788029675842,0.0,0.00631911532385466,0.32,16
780,642,0.0014976113063214119,0.0,0.0046801872074883,0.28,14
770,650,0.0017246888704515826,0.0,0.006153846153846154,0.46,23
760,658,0.001520126947116163,0.0,0.0045662100456621,0.0,0
750,667,0.0011701806754280516,0.0,0.003003003003003003,0.0,0
740,676,0.001568617137847907,0.0,0.005917159763313609,0.0,0
730,685,0.0015476159986340544,0.0,0.00583941605839416,0.0,0
720,695,0.0016988368959011465,0.0,0.007194244604316547,0.0,0
710,705,0.0015332043842682139,0.0,0.005681818181818182,0.0,0
700,715,0.0016800846212610921,0.0,0.0056022408963585435,0.0,0
690,725,0.0017664317012764336,0.0,0.0055248618784530384,0.0,0
680,736,0.0013871635610766045,0.0,0.005442176870748299,0.0,0
670,747,0.0017686474225768129,0.0,0.006702412868632708,0.0,0
