k,n,ro_mean,ro_min,ro_max,valid_rate,valid_count
992,505,0.23615079365079364,0.19642857142857142,0.28174603174603174,0.58,29
982,510,0.24332208482607187,0.20235756385068762,0.2907662082514735,0.56,28
972,515,0.23985327339352497,0.19455252918287938,0.2782101167315175,0.64,32
962,520,0.23969052912405517,0.20616570327552985,0.27307692307692305,0.36,18
952,526,0.23913279015028063,0.1958174904942966,0.28517110266159695,0.56,28
942,531,0.24021831361262128,0.19397363465160075,0.288135593220339,0.58,29
932,537,0.2416151782984519,0.2122905027932961,0.27052238805970147,0.52,26
922,543,0.24400759753453888,0.20441988950276244,0.27992633517495397,0.44,22
912,549,0.240312313030992,0.20802919708029197,0.2877959927140255,0.44,22
902,555,0.23531440465736495,0.19494584837545126,0.2743682310469314,0.46,23
892,561,0.24231238859180035,0.20855614973262032,0.28342245989304815,0.56,28
882,567,0.23760396607275286,0.19434628975265017,0.2839506172839506,0.52,26
872,574,0.24027169187174294,0.21080139372822299,0.2774869109947644,0.58,29
862,581,0.24060312184699387,0.2,0.2689655172413793,0.58,29
852,587,0.23665441796373063,0.19080068143100512,0.28620102214650767,0.56,28
842,594,0.24690230012321077,0.2053872053872054,0.2845117845117845,0.52,26
832,601,0.23877670549084862,0.20465890183028287,0.281198003327787,0.56,28
822,609,0.23841241033618527,0.20394736842105263,0.27257799671592775,0.54,27
812,616,0.23724274099883857,0.19967532467532467,0.2780487804878049,0.58,29
802,624,0.23893340741655347,0.20192307692307693,0.2680577849117175,0.58,29
792,632,0.2399151938855343,0.196513470681458,0.27689873417721517,0.58,29
782,640,0.23888967136150235,0.20625,0.2765625,0.6,30
772,648,0.23450073463468624,0.18364197530864199,0.2638888888888889,0.62,31
762,657,0.2391420258380666,0.21036585365853658,0.273972602739726,0.58,29
752,665,0.24074993205906334,0.19699248120300752,0.28270676691729324,0.44,22
742,674,0.23973060083509332,0.2032640949554896,0.2685459940652819,0.58,29
732,684,0.23855055525588004,0.19765739385065886,0.2708638360175695,0.62,31
722,693,0.2377785284721701,0.21242774566473988,0.2813852813852814,0.54,27
712,703,0.23905670853039276,0.198005698005698,0.2849002849002849,0.48,24
702,713,0.23898852766440268,0.20786516853932585,0.29453015427769985,0.58,29
692,723,0.24110332065148676,0.21300138312586445,0.2697095435684647,0.7,35
682,734,0.2378454412644836,0.18281036834924966,0.2728512960436562,0.44,22
672,745,0.24267565129537416,0.2163978494623656,0.2661290322580645,0.62,31
662,756,0.2400004555170118,0.20397350993377483,0.2698412698412698,0.58,29
652,767,0.23711074649119523,0.2033898305084746,0.2777053455019557,0.64,32
642,779,0.23606178905788514,0.1951219512195122,0.2631578947368421,0.78,39
632,792,0.23897843798286278,0.20707070707070707,0.2604298356510746,0.64,32
622,804,0.24061987695395995,0.21419676214196762,0.2835820895522388,0.64,32
612,817,0.24225214198286416,0.20930232558139536,0.28151774785801714,0.64,32
602,831,0.2421435344265147,0.2036144578313253,0.2674698795180723,0.58,29
592,845,0.2385268796096357,0.20734597156398105,0.2843601895734597,0.6,30
582,860,0.24264910523323494,0.21536670547147846,0.2724097788125728,0.66,33
572,875,0.24267878391631253,0.21967963386727687,0.26773455377574373,0.58,29
562,890,0.23958499007848735,0.21910112359550563,0.27334083239595053,0.7,35
552,906,0.24203405168733916,0.20750551876379691,0.2836644591611479,0.54,27
542,923,0.2368673311351506,0.19934994582881907,0.2668112798264642,0.66,33
532,940,0.2390491015793171,0.21725239616613418,0.2702127659574468,0.64,32
522,958,0.24057562886804845,0.2110762800417973,0.267223382045929,0.58,29
512,977,0.24159383022635364,0.21209016393442623,0.2743091095189355,0.6,30
502,997,0.2396987951807229,0.20481927710843373,0.2700803212851406,0.68,34
492,1017,0.24041197283967825,0.2125984251968504,0.26548672566371684,0.66,33
482,1038,0.23787788250901618,0.20250723240115717,0.2709739633558341,0.6,30
472,1060,0.24473713186167084,0.21509433962264152,0.26345609065155806,0.64,32
462,1083,0.23837293886530703,0.21256931608133087,0.2680221811460259,0.8,40
452,1107,0.24108205060350785,0.2140921409214092,0.28390596745027125,0.62,31
442,1132,0.24160150965560984,0.21043324491600354,0.26060070671378094,0.66,33
432,1158,0.24078903960722672,0.20725388601036268,0.27979274611398963,0.66,33
422,1185,0.23987930493784926,0.20692567567567569,0.26751054852320677,0.72,36
412,1214,0.24126981044179543,0.2042833607907743,0.26875515251442705,0.6,30
402,1244,0.23851152304998022,0.21962992759452937,0.2735317779565567,0.72,36
392,1276,0.24244879218144938,0.2211764705882353,0.26823529411764707,0.76,38
382,1309,0.24518373154099002,0.21695951107715813,0.2696715049656226,0.54,27
372,1345,0.2421730062842981,0.21577380952380953,0.26339285714285715,0.68,34
362,1382,0.2377999645802922,0.21361332367849384,0.2626628075253256,0.76,38
352,1421,0.2373214260935069,0.20211267605633804,0.25704225352112675,0.74,37
342,1462,0.23755129958960328,0.21272229822161423,0.25718194254445964,0.64,32
332,1507,0.24031237139475717,0.21646746347941567,0.25697211155378485,0.82,41
322,1553,0.2412384244661148,0.21506761107533806,0.2678686413393432,0.64,32
312,1603,0.2396967997738323,0.21223470661672908,0.26779026217228463,0.68,34
302,1656,0.24113682735671438,0.21316425120772947,0.2584541062801932,0.74,37
292,1713,0.2405893360830592,0.22066549912434325,0.2628504672897196,0.7,35
282,1774,0.23982555570180544,0.21714608009024253,0.2617033276931754,0.82,41
272,1839,0.2389157126957275,0.22306855277475518,0.27094668117519044,0.78,39
262,1909,0.23972402599185366,0.21581980094290204,0.2566788894709272,0.74,37
252,1985,0.24131445010969366,0.21964735516372796,0.2696572580645161,0.72,36
242,2067,0.23822694806274416,0.21577164973391388,0.26089060987415297,0.76,38
232,2156,0.24053878239758253,0.2208816705336427,0.26635730858468676,0.78,39
222,2253,0.24100680048469023,0.21482467820683532,0.26065719360568385,0.8,40
212,2359,0.23753799086098,0.21925360474978794,0.2547689699025011,0.82,41
202,2476,0.23883351772980202,0.22424242424242424,0.25696969696969696,0.82,41
192,2605,0.24022885211294598,0.22465437788018433,0.2569124423963134,0.88,44
182,2748,0.23855053733356862,0.21943231441048036,0.2606479796141245,0.86,43
172,2907,0.24064316358146354,0.22050223598211213,0.26143790849673204,0.82,41
162,3087,0.23876548551710905,0.21257290991574854,0.2562358276643991,0.86,43
152,3290,0.23890089374085677,0.22529644268774704,0.252887537993921,0.9,45
142,3522,0.2390402809072393,0.22209599545583641,0.2544731610337972,0.86,43
132,3788,0.23973587181624237,0.2212249208025343,0.26300501716398206,0.9,45
122,4099,0.23975417708922328,0.22200536716272262,0.2559785261102977,0.9,45
112,4465,0.2396758971611137,0.22396416573348266,0.25649641577060933,0.92,46
102,4902,0.23962256514149477,0.22786617707058343,0.2527539779681763,0.9,45
92,5435,0.24075481880246324,0.22631094756209752,0.24949402023919043,0.98,49
82,6098,0.24015987893975782,0.22650483844513694,0.24975401771072483,0.98,49
72,6945,0.24085405780440794,0.22462203023758098,0.25273617511520735,0.96,48
62,8065,0.24066207660476877,0.23387896825396826,0.25049603174603174,1.0,50
52,9616,0.23996090975086593,0.23161726469058763,0.24888195527821114,1.0,50
42,11905,0.24045383465314565,0.23133137337253254,0.2508189836203276,1.0,50
32,15625,0.23936384,0.231104,0.245824,1.0,50
22,22728,0.2401864793408848,0.2340285110876452,0.24679896158753906,1.0,50
12,41667,0.23961723589463818,0.23603811169510644,0.24539803681570546,1.0,50
2,250000,0.239588,0.237992,0.241792,1.0,50
