method,relative_tolerance,issue,prevalence_class,true_rate,median_stop_n,mean_stop_fraction,p95_stop_n,success_rate,median_relative_error,p95_relative_error,maximum_relative_error,full_budget_rate
adaptive,0.05,Cookie security,High,0.232696,20000.0,0.04,20000.0,0.999,0.008397222126723327,0.025381184034104654,0.05137174682848017,0.0
adaptive,0.05,Clickjacking,Medium,0.096926,20000.0,0.04096,20000.0,0.992,0.014196397251511485,0.039478571281183636,0.05959185357901908,0.0
adaptive,0.05,CORS,Low,0.005788,320000.0,0.6500800000000001,320000.0,0.999,0.009092087076710538,0.026377850725639248,0.05299758120248786,0.028
adaptive,0.1,Cookie security,High,0.232696,20000.0,0.04,20000.0,1.0,0.008397222126723327,0.025381184034104654,0.05137174682848017,0.0
adaptive,0.1,Clickjacking,Medium,0.096926,20000.0,0.04,20000.0,1.0,0.014196397251511485,0.04048449332480446,0.05959185357901908,0.0
adaptive,0.1,CORS,Low,0.005788,80000.0,0.16544,80000.0,0.989,0.028161713890808564,0.08009243261921206,0.16188666205943336,0.0
adaptive,0.2,Cookie security,High,0.232696,20000.0,0.04,20000.0,1.0,0.008397222126723327,0.025381184034104654,0.05137174682848017,0.0
adaptive,0.2,Clickjacking,Medium,0.096926,20000.0,0.04,20000.0,1.0,0.014196397251511485,0.04048449332480446,0.05959185357901908,0.0
adaptive,0.2,CORS,Low,0.005788,20000.0,0.041839999999999995,20000.0,0.983,0.06254319281271603,0.17069799585349002,0.30442294402211484,0.0
