k,n,ro_mean,ro_min,ro_max,valid_rate,valid_count
992,505,0.00876984126984127,0.001984126984126984,0.017857142857142856,0.0,0
982,510,0.00742470819369005,0.0,0.015717092337917484,0.0,0
972,515,0.008826791583242037,0.0,0.017509727626459144,0.0,0
962,520,0.009622202460352749,0.0019230769230769232,0.02697495183044316,0.0,0
952,526,0.010088357776570704,0.0,0.01904761904761905,0.0,0
942,531,0.009759727107984223,0.0018832391713747645,0.01694915254237288,0.0,0
932,537,0.008311445565468745,0.00186219739292365,0.0186219739292365,0.0,0
922,543,0.00940354596916135,0.0,0.022099447513812154,0.18,9
912,549,0.008790036296916756,0.0018248175182481751,0.020072992700729927,0.14,7
902,555,0.009309916414609555,0.0018018018018018018,0.021660649819494584,0.16,8
892,561,0.008598102877514642,0.0017825311942959,0.01607142857142857,0.24,12
882,567,0.008856544580926206,0.003527336860670194,0.021164021164021163,0.2,10
872,574,0.00770782786361895,0.0,0.015706806282722512,0.14,7
862,581,0.009413080895008606,0.0,0.022413793103448276,0.18,9
852,587,0.009133966312190754,0.0017064846416382253,0.017035775127768313,0.08,4
842,594,0.008353234424060732,0.003367003367003367,0.01517706576728499,0.22,11
832,601,0.009118302828618969,0.0033277870216306157,0.018302828618968387,0.0,0
822,609,0.008612749546279492,0.001644736842105263,0.018092105263157895,0.0,0
812,616,0.008120789779326365,0.0,0.017857142857142856,0.0,0
802,624,0.009076480635469399,0.0016025641025641025,0.017628205128205128,0.0,0
792,632,0.00953594856466529,0.001584786053882726,0.025356576862123614,0.0,0
782,640,0.008478628716744915,0.001564945226917058,0.01564945226917058,0.0,0
772,648,0.007934579350086821,0.0,0.016975308641975308,0.22,11
762,657,0.008198760069792478,0.001524390243902439,0.018292682926829267,0.22,11
752,665,0.00911355195216958,0.0015037593984962407,0.01804511278195489,0.18,9
742,674,0.008549389112040952,0.001483679525222552,0.016320474777448073,0.18,9
732,684,0.008286498334660466,0.0,0.01903367496339678,0.2,10
722,693,0.008694584157011902,0.002886002886002886,0.017341040462427744,0.16,8
712,703,0.009313929313929313,0.004273504273504274,0.01566951566951567,0.22,11
702,713,0.009404636210347166,0.004207573632538569,0.016853932584269662,0.22,11
692,723,0.00772159706976548,0.0027662517289073307,0.016597510373443983,0.0,0
682,734,0.009303337038262374,0.001364256480218281,0.019099590723055934,0.0,0
672,745,0.008843508695965938,0.0013440860215053765,0.01478494623655914,0.0,0
662,756,0.008498545849539227,0.0013227513227513227,0.018518518518518517,0.08,4
652,767,0.008762361239238702,0.003911342894393742,0.01694915254237288,0.12,6
642,779,0.00811530833479083,0.0012836970474967907,0.014120667522464698,0.14,7
632,792,0.008822708756337075,0.0012642225031605564,0.020227560050568902,0.18,9
622,804,0.00873332589852729,0.0037313432835820895,0.0161892901618929,0.22,11
612,817,0.008396572827417383,0.0024479804161566705,0.014687882496940025,0.26,13
602,831,0.009245878822147797,0.0024096385542168677,0.018050541516245487,0.16,8
592,845,0.008407050113575816,0.002369668246445498,0.014201183431952662,0.0,0
582,860,0.009080136448547526,0.0034924330616996507,0.017462165308498253,0.0,0
572,875,0.008122236024844721,0.0034285714285714284,0.013729977116704805,0.18,9
562,890,0.008340794479341768,0.0033707865168539327,0.01687289088863892,0.2,10
552,906,0.009340333930945324,0.0033112582781456954,0.019867549668874173,0.22,11
542,923,0.008476673489963643,0.0021691973969631237,0.014099783080260303,0.12,6
532,940,0.009002651077425056,0.002127659574468085,0.01702127659574468,0.16,8
522,958,0.009083579295947015,0.0041753653444676405,0.015657620041753653,0.0,0
512,977,0.00878548836350823,0.0020470829068577278,0.021494370522006142,0.1,5
502,997,0.00853413654618474,0.0030120481927710845,0.018072289156626505,0.16,8
492,1017,0.008521008988920633,0.002952755905511811,0.014763779527559055,0.1,5
482,1038,0.009235344284591501,0.0038535645472061657,0.020250723240115717,0.22,11
472,1060,0.009194594401981221,0.005660377358490566,0.014164305949008499,0.18,9
462,1083,0.008980803989738917,0.0027726432532347504,0.01756007393715342,0.1,5
452,1107,0.008877568522520668,0.0036133694670280035,0.015370705244122965,0.02,1
442,1132,0.008963252133107134,0.00265017667844523,0.015915119363395226,0.14,7
432,1158,0.009089614466572027,0.0034542314335060447,0.014693171996542784,0.16,8
422,1185,0.009183259208575663,0.004219409282700422,0.018565400843881856,0.12,6
412,1214,0.007811517457092373,0.0032976092333058533,0.01236603462489695,0.22,11
402,1244,0.008956497220447366,0.005627009646302251,0.016894609814963796,0.1,5
392,1276,0.009408765136148502,0.004705882352941176,0.014106583072100314,0.04,2
382,1309,0.00867916307473782,0.004583651642475172,0.016042780748663103,0.16,8
372,1345,0.009195864312267658,0.003720238095238095,0.01488095238095238,0.08,4
362,1382,0.008977418364384959,0.00361794500723589,0.013758146270818247,0.14,7
352,1421,0.009391006135334173,0.00422237860661506,0.01619718309859155,0.2,10
342,1462,0.009192886456908345,0.004103967168262654,0.013679890560875513,0.06,3
332,1507,0.008738124255907137,0.005312084993359893,0.014608233731739707,0.06,3
322,1553,0.008822506820852226,0.004507405022537025,0.015453960077269801,0.12,6
312,1603,0.009048288827985605,0.004369538077403246,0.013108614232209739,0.12,6
302,1656,0.008660755724856604,0.0036253776435045317,0.016314199395770394,0.24,12
292,1713,0.008525773223998997,0.004672897196261682,0.014018691588785047,0.06,3
282,1774,0.008809646895592221,0.00338409475465313,0.014664410603496898,0.22,11
272,1839,0.008921706633152688,0.004893964110929853,0.012513601741022852,0.2,10
262,1909,0.00880379049696187,0.005762179151388162,0.013626834381551363,0.08,4
252,1985,0.008285315267733809,0.005040322580645161,0.01309823677581864,0.24,12
242,2067,0.008886344253565572,0.004356243949661181,0.012100677637947725,0.32,16
232,2156,0.008769544012500593,0.004176334106728539,0.01437847866419295,0.08,4
222,2253,0.00832066421798762,0.003108348134991119,0.013315579227696404,0.16,8
212,2359,0.009192517350942613,0.005934718100890208,0.01271725307333616,0.26,13
202,2476,0.008710102641928168,0.0056565656565656566,0.01292929292929293,0.28,14
192,2605,0.00867856626893219,0.0049923195084485405,0.013824884792626729,0.18,9
182,2748,0.008852444031837828,0.005096468875136513,0.013105205678922462,0.12,6
